web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
1715036417-350;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Тумба, Матрас двуспальный, Кровать основание, Столешница, Кресло большое, Диван, Кухонные стулья, Письменный стол, Ножки стола;;;20;Москва;Москва;02.07.2020;2,5;5000;№ 1492681; Заказать авто для доставки мебели ;"Груз № 1: Тумба 
                                        Дата перевозки:  02.07
					Время перевозки:  с 07:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 150 см; 50 см; 30 см;
					Объем:  0.23 м3";8,535287061;;02.07.2020
1715036443-351;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Картонные коробки;;;76;г. Химки;Мирный;02.07.2020;2,5;2500;№ 1492832; Транспортировать Картонные коробки;"Груз : Картонные коробки 
                                        Дата перевозки:  02.07
					Время перевозки:  с 14:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 40 см; 40 см;
					Объем:  0.08 м3";10,53261668;;02.07.2020
1715036468-352;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Мебель переезд;;;0.71;Раменское;Раменское;04.07.2020;2;5096;№ 1493229; Заказать грузовой автомобиль для квартирного переезда;"Дата перевозки:  04.07
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  5.58 м3
					Общий вес:  70 кг
                    Категория: Переезд";8,376342758;;04.07.2020
1715036494-353;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;21;Москва;Ленинский р-н;11.07.2020;2,5;4854;№ 1494097; Услуги квартирного переезда под ключ;"Дата перевозки:  11.07
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  3.56 м3
					Общий вес:  105 кг
                    Категория: Переезд";12,21941233;;11.07.2020
1715036520-354;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник, Буфет;;;39;Москва;Львовский@цветники Снт;11.07.2020;2,5;4699;№ 1494132; Заказ грузовой машины для перевозки мебели ;"Груз № 1: Холодильник 
                                        Дата перевозки:  11.07
					Время перевозки:  с 07:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 70 кг
                    Д; Ш; В : 55 см; 55 см; 150 см;
					Объем:  0.45 м3";9,187533325;;11.07.2020
1715036545-355;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник двухкамерный;;;13;Москва;Москва;06.07.2020;2;2988;№ 1494236; Заказать авто для перевозки личныx вещей ;"Груз : Холодильник двухкамерный 
                                        Дата перевозки:  06.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 100 см; 80 см; 200 см;
					Объем:  1.6 м3";10,2836555;;06.07.2020
1715036571-356;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 3-местный, Кресло среднее;;;56;Москва;Москва;08.07.2020;4;4400;№ 1494959; Перевозка вещей ;"Груз № 1: Диван 3-местный 
                                        Дата перевозки:  с 07.07 по 10.07
					Время перевозки:  с 08:00 по 19:00
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 250 см; 100 см; 90 см;
					Объем:  2.25 м3";9,59097524;;08.07.2020
1715036590-357;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Мягкий уголок;;;46;Химки;Москва;08.07.2020;2,5;5285;№ 1495394; Заказ авто для перевозки вещей ;"Груз : Мягкий уголок 
                                        Дата перевозки:  08.07
					Время перевозки:  с 15:00 по 19:00
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 300 см; 60 см; 80 см;
					Объем:  1.44 м3";12,42970705;;08.07.2020
1715036610-358;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;120;Москва;Темьянь;09.07.2020;3;6300;№ 1495417; Квартирный переезд;"Дата перевозки:  09.07
					Время перевозки:  14:00

										Общий объем:  1.8 м3
					Общий вес:  28 кг
                    Категория: Переезд";8,560701416;;09.07.2020
1715036636-359;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван;;;3;Москва;Москва;08.07.2020;2;3239;№ 1495604; Перевезти Диван;"Груз : Диван 
                                        Дата перевозки:  08.07
					Время перевозки:  с 17:30 по 17:30
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";12,24165163;;08.07.2020
1715036661-360;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Комод;;;4;Москва;Москва;08.07.2020;12;4098;№ 1495631; Доставка вещей ;"Груз : Комод 
                                        Дата перевозки:  08.07
					Время перевозки:  с 18:30 по 18:30
                    Категория: Мебель и бытовая техника
                    Вес: 60 кг
                    Д; Ш; В : 260 см; 51 см; 97 см;
					Объем:  1.29 м3";10,1512723;;08.07.2020
1715036687-361;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Односпальная кровать;;;20;Королев;Ново-фрязино;11.07.2020;2,5;3529;№ 1496654; Заказ авто для отправки вещей ;"Груз : Односпальная кровать 
                                        Дата перевозки:  11.07
					Время перевозки:  с 13:30 по 15:30
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 205 см; 100 см; 90 см;
					Объем:  1.85 м3";10,09059785;;11.07.2020
1715036706-362;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;85;Москва;Автомобилист;12.07.2020;2,5;7134;№ 1496658; Переезд под ключ;"Дата перевозки:  12.07
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  3.16 м3
					Общий вес:  160 кг
                    Категория: Переезд";8,102291415;;12.07.2020
1715036731-363;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;3;Москва;Москва;12.07.2020;2;1759;№ 1496838; Переезд;"Дата перевозки:  12.07
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  4.425 м3
					Общий вес:  228 кг
                    Категория: Переезд";10,66325383;;12.07.2020
1715036757-364;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Средние коробки, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Книжные полки разобранные, Контейнер, Чемодан с в;;;55;Москва;Лобня;14.07.2020;2,5;7038;№ 1497151; Заказ грузовой машины для доставки мебели ;"Груз № 1: Средние коробки 
                                        Дата перевозки:  14.07
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 60 см; 30 см; 30 см;
					Объем:  0.05 м3";8,414178658;;14.07.2020
1715036782-365;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Коробки переезд;;;2;Москва;Москва;13.07.2020;2,5;2399;№ 1497288; Заказ автомобиля для переезда квартиры;"Дата перевозки:  13.07
					Время перевозки:  с 11:00 по 11:00

										Общий объем:  0.45 м3
					Общий вес:  70 кг
                    Категория: Переезд";10,89217187;;13.07.2020
1715036808-366;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;20;Москва;Москва;14.07.2020;2,5;2561;№ 1497334; Переезд;"Дата перевозки:  14.07
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  0.71 м3
					Общий вес:  30 кг
                    Категория: Переезд";12,61446538;;14.07.2020
1715036833-367;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник, Книжные полки разобранные, Письменный стол;;;6;Москва;Москва;16.07.2020;2,5;4166;№ 1498227; Перевезти Холодильник, Книжные полки разобранные, Письменный стол;"Груз № 1: Холодильник 
                                        Дата перевозки:  16.07
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 70 см; 70 см; 200 см;
					Объем:  0.98 м3";8,259907939;;16.07.2020
1715036859-368;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 2-местный, Компьютерный стол, Торшер, Детская доска для рисования;;;35;Москва;Ленинский р-н;15.07.2020;2,5;4629;№ 1498292; Заказ авто для отправки мебели ;"Груз № 1: Диван 2-местный 
                                        Дата перевозки:  15.07
					Время перевозки:  с 12:00 по 14:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";8,142295162;;15.07.2020
1715036879-369;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Телевизор ЖК, Коробки с вещами и пакеты, Контейнер;;;7;Москва;Москва;15.07.2020;2,5;2679;№ 1498432; Заказать грузовой автомобиль для отправки вещей ;"Груз № 1: Телевизор ЖК 
                                        Дата перевозки:  15.07
					Время перевозки:  с 14:30 по 16:30
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 140 см; 40 см; 90 см;
					Объем:  0.5 м3";11,57572079;;15.07.2020
1715036905-370;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Портер, Соболь (до 1т.);;;137;Москва;Шатура;19.07.2020;2,5;8236;№ 1499696; Транспортировка заказать отдельную машину портера, соболя (до 1т.) стоимость;"Груз :
							Заказать отдельную машину Портер, Соболь (до 1т.)						
                                        Дата перевозки:  19.07
					Время перевозки:  с 07:00 по 12:00
                    Категория: Прочие грузы
                    Вес: 1000 кг
                    Д; Ш; В : не указано
					Объем:  6 м3";10,44470078;;19.07.2020
1715036931-371;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Компьютерный стол, Коробки большие с вещами, Маленькие коробки, Сумки с личными вещами, Сумки с личными вещами;;;16;Москва;Москва;18.07.2020;2,5;3124;№ 1499722; Перевозка личныx вещей ;"Груз № 1: Компьютерный стол 
                                        Дата перевозки:  18.07
					Время перевозки:  с 16:30 по 20:30
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 80 см; 120 см; 90 см;
					Объем:  0.86 м3";9,319303956;;18.07.2020
1715036951-372;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;30;Москва;Москва;18.07.2020;2,5;4018;№ 1499732; Заказать авто для переезда квартиры;"Дата перевозки:  18.07
					Время перевозки:  с 15:30 по 19:30

										Общий объем:  5.2 м3
					Общий вес:  302 кг
                    Категория: Переезд";9,44640209;;18.07.2020
1715036976-373;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;25;Москва;Москва;19.07.2020;2,5;4710;№ 1499891; Переезд;"Дата перевозки:  19.07
					Время перевозки:  с 18:00 по 22:00

										Общий объем:  2.125 м3
					Общий вес:  108 кг
                    Категория: Переезд";9,50481411;;19.07.2020
1715037002-374;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван угловой в разборе, Кресло среднее, Холодильник двухкамерный;;;38;Москва;Красногорск;30.07.2020;2,5;4613;№ 1503750; Заказать авто для транспортировки вещей ;"Груз № 1: Диван угловой в разборе 
                                        Дата перевозки:  30.07
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 200 см; 145 см; 70 см;
					Объем:  2.03 м3";8,298923446;;30.07.2020
1715037028-375;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван раскладной, Стол компьютерный;;;11;Москва;Москва;28.07.2020;2,5;4462;№ 1503765; Отправка вещей ;"Груз № 1: Диван раскладной 
                                        Дата перевозки:  28.07
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 45 кг
                    Д; Ш; В : 100 см; 120 см; 215 см;
					Объем:  2.58 м3";12,98305627;;28.07.2020
1715037053-376;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Двуспальная кровать, Матрас двуспальный;;;25;Москва;Бристоль;29.07.2020;2,5;5863;№ 1503962; Транспортировать Двуспальная кровать, Матрас двуспальный;"Груз № 1: Двуспальная кровать 
                                        Дата перевозки:  29.07
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 210 см; 170 см; 90 см;
					Объем:  3.21 м3";8,399584064;;29.07.2020
1715037079-377;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван-кровать, Одеяло и подушки;;;42;Домодедово;Михнево;28.07.2020;2,5;6003;№ 1504262; Перевозка мебели ;"Груз № 1: Диван-кровать 
                                        Дата перевозки:  28.07
					Время перевозки:  с 19:30 по 19:30
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 250 см; 100 см; 90 см;
					Объем:  2.25 м3";10,82651852;;28.07.2020
1715037104-378;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 2-местный, Детская кроватка и матрас, Стиральная машина, Картонные коробки с вещами, Детский стульчик для кормления, Детские игрушки, Чемодан с вещами;;;26;Балашиха;Балашиха;02.08.2020;2,5;3496;№ 1504375; Заказ авто для транспортировки личныx вещей ;"Груз № 1: Диван 2-местный 
                                        Дата перевозки:  02.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 100 см;
					Объем:  2 м3";9,736476077;;02.08.2020
1715037130-379;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;2;Москва;Москва;02.08.2020;2,5;5456;№ 1505297; Перевезти на газели недорого;"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  02.08
					Время перевозки:  с 07:00 по 12:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";8,809012302;;02.08.2020
1715037155-380;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;49;Москва;Электроугли;01.08.2020;3;11503;№ 1505438; Квартирный переезд;"Дата перевозки:  01.08
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  11.81 м3
					Общий вес:  206 кг
                    Категория: Переезд";12,98649657;;01.08.2020
1715037172-381;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;172;Москва;Химки;31.07.2020;3,5;11776;№ 1505621; Стоимость грузоперевозки заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  31.07
					Время перевозки:  с 15:30 по 17:30
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";10,75581777;;31.07.2020
1715037198-382;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;3;Москва;Москва;05.08.2020;3,5;9495;№ 1507525; Заказ отдельной газели для квартирного переезда;"Дата перевозки:  05.08
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  16.491 м3
					Общий вес:  1078 кг
                    Категория: Переезд";12,62753038;;05.08.2020
1715037215-383;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;11;Москва;Железнодорожный;08.08.2020;2,5;4387;№ 1507730; Заказ авто для переезда под ключ;"Дата перевозки:  08.08
					Время перевозки:  с 07:00 по 20:00

										Общий объем:  7.56 м3
					Общий вес:  142 кг
                    Категория: Переезд";9,918062692;;08.08.2020
1715037240-384;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Большой диван 4 и более мест;;;84;Москва;(Наро-Фоминский р-н) Каменское;07.08.2020;2,5;6382;№ 1507802; Заказать грузовой автомобиль для доставки личныx вещей ;"Груз : Большой диван 4 и более мест 
                                        Дата перевозки:  07.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 60 кг
                    Д; Ш; В : 300 см; 100 см; 90 см;
					Объем:  2.7 м3";10,62479531;;07.08.2020
1715037266-385;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Двуспальная кровать, Матрас двуспальный;;;27;Балашиха;Москва;05.08.2020;2,5;2508;№ 1507826; Заказать отдельную газель для транспортировки мебели ;"Груз № 1: Двуспальная кровать 
                                        Дата перевозки:  05.08
					Время перевозки:  с 18:30 по 22:30
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 210 см; 200 см; 40 см;
					Объем:  1.68 м3";12,30063743;;05.08.2020
1715037292-386;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Большая коробка, Средняя коробка, Цветок в горшке, Стол складной, Телевизор ЖК, Мешок с одеждой, Маленькие коробки, Мультиварка, Сумки с личными вещами, Игрушки в коробках;;;74;Электросталь;Москва;08.08.2020;3;8149;№ 1508304; Доставить Большая коробка, Средняя коробка, Цветок в горшке, Стол складной, Телевизор ЖК, Мешок с одеждой, Маленькие коробки, Мультиварка, Сумки с личными вещами, Игрушки в коробках;"Груз № 1: Большая коробка 
                                        Дата перевозки:  08.08
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 100 см; 70 см; 50 см;
					Объем:  0.35 м3";10,87746077;;08.08.2020
1715037317-387;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;7;Москва;Москва;11.08.2020;2,5;3204;№ 1508351; Заказ авто для квартирного переезда;"Дата перевозки:  11.08
					Время перевозки:  с 07:00 по 20:00

										Общий объем:  2.6 м3
					Общий вес:  160 кг
                    Категория: Переезд";9,452415997;;11.08.2020
1715037343-388;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;4;Пушкино;Пушкино;09.08.2020;4;5682;№ 1508424; Заказ грузовой машины для переезда под ключ;"Дата перевозки:  09.08
					Время перевозки:  с 07:00 по 20:00

										Общий объем:  7.2 м3
					Общий вес:  420 кг
                    Категория: Переезд";10,74010464;;09.08.2020
1715037368-389;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Коробки, беговая дорожка, Аудио аппаратура, Сумки с личными вещами, Матрас двуспальный, Мелкая бытовая техника, беговые лыжи, Вещи в мешках, Коробка для инструментов, Кресло среднее, Гладильная доска, сушилка для белья, гитара, Картина, Самокат;;;23;Москва;Москва;08.08.2020;4;10000;№ 1508551; Заказать грузовую газель для доставки вещей ;"Груз № 1: Коробки 
                                        Дата перевозки:  08.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 8 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";9,666244997;;08.08.2020
1715037394-390;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Портер, Соболь (до 1т.);;;43;Балашиха;Москва;07.08.2020;2,5;3643;№ 1508855; Стоимость грузоперевозки;"Груз :
							Заказать отдельную машину Портер, Соболь (до 1т.)						
                                        Дата перевозки:  07.08
					Время перевозки:  с 15:30 по 15:30
                    Категория: Прочие грузы
                    Вес: 1000 кг
                    Д; Ш; В : не указано
					Объем:  6 м3";9,381397127;;07.08.2020
1715037412-391;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Двери шкафа купе и полки;;;89;Москва;Чехов;12.08.2020;2;4351;№ 1510424; Заказать авто для перевозки личныx вещей ;"Груз : Двери шкафа купе и полки 
                                        Дата перевозки:  12.08
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 260 см; 60 см; 10 см;
					Объем:  0.16 м3";12,77215284;;12.08.2020
1715037437-392;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;77;Москва;Истра;14.08.2020;2,5;6400;№ 1511671; Грузоперевозки заказать отдельную машину Газели (аналогов, до 1, 5 т.) услуги;"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  14.08
					Время перевозки:  с 21:30 по 00:30
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";8,881808849;;14.08.2020
1715037463-393;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Заказать отдельную машину Портер, Соболь (до 1т.);;;151;Москва;Москва;16.08.2020;2,5;7818;№ 1512108; Автодоставка заказать отдельную машину портера, соболя (до 1т.) частники;"Груз :
							Заказать отдельную машину Портер, Соболь (до 1т.)						
                                        Дата перевозки:  16.08
					Время перевозки:  с 07:00 по 20:00
                    Категория: Прочие грузы
                    Вес: 1000 кг
                    Д; Ш; В : не указано
					Объем:  6 м3";11,18639255;;16.08.2020
1715037481-394;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник двухкамерный;;;21;Москва;Москва;16.08.2020;2,5;3913;№ 1512243; Заказ авто для перевозки мебели ;"Груз : Холодильник двухкамерный 
                                        Дата перевозки:  16.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 100 см; 80 см; 200 см;
					Объем:  1.6 м3";12,96445404;;16.08.2020
1715037507-395;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник двухкамерный;;;57;Истринский район село Рождествено;Москва;19.08.2020;2,5;4449;№ 1512488; Отправка мебели ;"Груз : Холодильник двухкамерный 
                                        Дата перевозки:  19.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 100 см; 80 см; 200 см;
					Объем:  1.6 м3";11,09481851;;19.08.2020
1715037522-396;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Холодильник;;;14;Котельники;Москва;18.08.2020;2;2496;№ 1512666; Транспортировка личныx вещей ;"Груз : Холодильник 
                                        Дата перевозки:  17.08
					Время перевозки:  с 07:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 70 см; 70 см; 200 см;
					Объем:  0.98 м3";8,288152733;;18.08.2020
1715037548-397;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;64;Москва;Москва;20.08.2020;3,5;11600;№ 1513335; Переезд под ключ;"Дата перевозки:  20.08
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  11.81 м3
					Общий вес:  452 кг
                    Категория: Переезд";8,532660978;;20.08.2020
1715037574-398;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;5;Москва;Москва;18.08.2020;2,5;8047;№ 1513375; Квартирный переезд;"Дата перевозки:  18.08
					Время перевозки:  с 00:30 по 00:30

										Общий объем:  14.058 м3
					Общий вес:  653 кг
                    Категория: Переезд";8,154551121;;18.08.2020
1715037599-399;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;67;Пушкино;Одинцово;19.08.2020;2,5;6866;№ 1513423; Заказать газель для квартирного переезда под ключ;"Дата перевозки:  19.08
					Время перевозки:  с 12:00 по 18:00

										Общий объем:  5.435 м3
					Общий вес:  585 кг
                    Категория: Переезд";8,951189533;;19.08.2020
1715037625-400;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас полутороспальный, Обеденный стол, Стул, Кровать разобранная;;;5;Москва;Москва;19.08.2020;2,5;2862;№ 1513918; Доставить Матрас полутороспальный, Обеденный стол, Стул, Кровать разобранная;"Груз № 1: Матрас полутороспальный 
                                        Дата перевозки:  19.08
					Время перевозки:  с 20:30 по 00:30
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 200 см; 160 см; 50 см;
					Объем:  1.6 м3";11,36286109;;19.08.2020
1715037650-401;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Двуспальная кровать, туалетный столик, Зеркало, Табурет;;;22;Москва;Москва;22.08.2020;2,5;5781;№ 1515109; Заказать авто для транспортировки мебели ;"Груз № 1: Двуспальная кровать 
                                        Дата перевозки:  22.08
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 210 см; 170 см; 90 см;
					Объем:  3.21 м3";9,493212346;;22.08.2020
1715037676-402;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Шкаф, Шкаф, Офисный стул;;;3;Москва;Москва;24.08.2020;2,5;1216;№ 1515276; Отправка вещей ;"Груз № 1: Шкаф 
                                        Дата перевозки:  24.08
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 90 см; 58 см; 200 см;
					Объем:  1.04 м3";12,98280528;;24.08.2020
1715037701-403;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Кресло кожаное;;;6;Москва;Москва;23.08.2020;2,5;2130;№ 1515361; Доставка мебели ;"Груз : Кресло кожаное 
                                        Дата перевозки:  23.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 100 см; 100 см; 50 см;
					Объем:  0.5 м3";12,89901682;;23.08.2020
1715037727-404;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 2-местный, Холодильник двухкамерный, Табурет, Монитор;;;9;Москва;Москва;23.08.2020;2;3677;№ 1515436; Отправить Диван 2-местный, Холодильник двухкамерный, Табурет, Монитор;"Груз № 1: Диван 2-местный 
                                        Дата перевозки:  23.08
					Время перевозки:  с 12:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";8,443014554;;23.08.2020
1715037752-405;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;2;Москва;Москва;24.08.2020;2,5;6361;№ 1515787; Переезд квартиры;"Дата перевозки:  24.08
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  8.62132 м3
					Общий вес:  635 кг
                    Категория: Переезд";9,744387348;;24.08.2020
1715037778-406;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Кухня, Плита, Посудомоечная машина, Двери комнатные, Мебельная стенка в прихожей;;;57;Москва;Подольский район;25.08.2020;2,5;6007;№ 1516535; Доставить Кухня, Плита, Посудомоечная машина, Двери комнатные, Мебельная стенка в прихожей;"Груз № 1: Кухня 
                                        Дата перевозки:  25.08
					Время перевозки:  с 12:00 по 16:00
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 40 см; 80 см; 30 см;
					Объем:  0.1 м3";9,458168913;;25.08.2020
1715037797-407;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Переезд переезд;;;12;Дзержинский;Люберцы;26.08.2020;2,5;7862;№ 1516581; Заказать газель для переезда;"Дата перевозки:  26.08
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  11.12 м3
					Общий вес:  362 кг
                    Категория: Переезд";10,62223179;;26.08.2020
